Number,입력문장,BEST1,BEST2,BEST3
0,19일 현재 전국 1655개동 가운데 571개동이 기능을 전환했다. ,19일 현재 전국 1655개동 중 571개동이 기능을 전환했다. ,19일 현재 전국 1655개동 가운데 571개동이 기능을 전환했다. ,19일 지금 전국 1655개동 중 571개동이 기능을 전환했다. 
1,19일 현재 전국 1665개동 가운데 기능을 변경한 것은 571개 동이다. ,19일 현재 전국 1665개동 중 기능을 변경한 것은 571개 동이다. ,19일 현재 전국 1665개동 가운데 기능을 변경한 것은 571개 동이다. ,19일 지금 전국 1665개동 중 기능을 변경한 것은 571개 동이다. 
2,전국에서 기능을 변환한 것은 19일 현재 1665동 가운데 571개동이다. ,19일 현재 1665동 중 571개동이 전국에서 기능을 변환했다. ,19일 현재 1665동 가운데 571개동이 전국에서 기능을 변환했다. ,19일 현재 1665동 중 571개동이 전국에서 기능을 변환한 것이다
3,1분 동안에 15회의 속도로 계속한다. ,15회의 속도로 1분 동안에 계속한다. ,15회의 속도로 1분 동안에 계속한다.,15회의 속도로 1분 동안 계속한다. 안에 
4,60초 안에 열다섯 번의 빠르기로 멈추지 않고 한다. ,60초 안에 열다섯 번의 빠르기로 멈추지 않고 한다. ,열다섯 번의 빠르기로 60초 안에 멈추지 않고 한다. ,60초 안에 열다섯 번의 빠르기로 멈추지 않고 한다. 
5,1분 안에 15회의 스피드로 계속한다. ,15회의 스피드로 1분 안에 계속한다. ,15회의 스피드로 1분 안에 이어진다. ,15회의 스피드로 1분 안에 계속한다. 
6,30일 청와대에서 노태우대통령에게 방소결과를 보고했습니다. ,30일 청와대에서 노태우대통령에게 방소결과를 보았습니다. ,30일 청와대에서 노태우대통령에게 방소결과를 보고하였습니다. ,30일 청와대에서 노태우대통령에게 방소결과를 보았습니다.
7,노태우대통령은 30일 청와대에서 소련 방문의 결과를 보고 받았습니다. ,30일 노태우대통령은 청와대에서 소련 방문의 결과를 보고 받았습니다. ,30일 노태우대통령은 청와대에서 소련 방문의 결과를 보았습니다. ,노태우대통령은 30일 청와대에서 소련 방문의 결과를 보고 받았습니다. 
8,30일 청와대에서 노태우 대통령은 소련에 다녀온 결과를 보고받았습니다. ,노태우 대통령은 30일 청와대에서 소련에 다녀온 결과를 보고받았습니다. ,30일 청와대에서 노태우 대통령은 소련에 다녀온 결과를 보고받았습니다. ,노태우 대통령이 30일 청와대에서 소련에 다녀온 결과를 보고받았습니다. 
9,3건의 문화재가 세계문화유산으로 지정된 것은 우리문화의 세계적 가치를 재확인 계기가 된 것으로 봅니다. ,3건의 문화재가 세계문화유산으로 지정된 것은 우리문화의 세계적 가치를 재확인 계기가 된 것으로 봅니다. ,3건의 문화재가 세계문화유산으로 지정된 것은 우리문화의 세계적 가치를 재확인 계기가 된 것으로 생각니다. ,3건의 문화재가 세계문화유산으로 지정된 것은 우리문화의 세계적 가치를 재확인 계기가 된 것으로 생각됩니다
