Number,입력문장,BEST1,BEST2,BEST3
120,K는 어떻게 대답해야 할지를 모르겠는 듯 잠시 아무 말 하지 못하고 있었다. ,K는 어떻게 대답해야 할지를 모르겠는 듯 잠시 아무 말 하지 못하고 있었다. ,K는 어떻게 대답해야 할지를 모르겠는 듯 잠깐 아무 말 하지 못하고 있었다,K는 어떻게 대답해야 할지를 모르겠는 듯 잠시 아무 말 하지 못하고 있었다. 
121,K는 아무런 대답이 떠오르지 않는다는 듯 잠시 어떤 말도 못하고 있었다. ,아무런 대답이 떠오르지 않는다는 듯 K는 잠시 어떤 말도 못하고 있었다. ,K는 아무런 대답이 떠오르지 않는다는 듯 잠시 어떤 말도 못하고 있었다. ,아무런 대답이 떠오르지 않는다는 듯 K는 잠시 어떤 말도 못하고 있었다.
122,K는 어떤 대답도 찾지 못했다는 듯 잠깐 동안 아무런 말도 하지 못했다. ,어떤 대답도 찾지 못했다는 듯 K는 잠깐 동안 아무런 말도 하지 못했다. ,K는 어떤 대답도 찾지 못했다는 듯 잠깐 동안 아무런 말도 하지 못했다. ,K는 어떠한 대답도 찾지 못했다는 듯 잠깐 동안 아무런 말도 하지 
123,K는 어처구니가 없는 듯 자신도 모르게 허! 하고 웃어버렸다. ,어처구니가 없는 듯 K는 자신도 모르게 허! 하고 웃어버렸다. ,K는 어처구니가 없는 듯 자신도 모르게 허! 하고 웃어버렸다. ,K는 어처구니가 없는 듯이 자신도 모르게 허! 하고 웃어버렸다
124,K는 자신도 모르게 허!하고 웃어버렸는데 어처구니가 없어서 그런 듯하다. ,K는 자신도 모르게 허!하고 웃어버렸는데 어처구니가 없어서 그런 듯하다. ,K는 자신도 모르는 사이에 허!하고 웃어버렸는데 어처구니가 없어서 그런 듯하다. ,K는 자신도 모르는 게 허!하고 웃어버렸는데 어처구니가 없어서 그런 듯하다. 
125,K가 자기도 모르게 허!하고 웃음소리를 낸 것은 어이가 없었기 때문인 듯싶다. ,K가 자기도 모르게 허!하고 웃음소리를 낸 것은 어이가 없었기 때문인 듯싶다. ,K가 자기도 모르게 허!하고 웃음소리를 낸 것은 어이가 없었기 때문인 듯하다. ,K가 자기도 모르게 허!하고 웃음소리를 낸 것은 어이가 없었기 때문인 것 같다. 
126,K는 어처구니가 없다는 표정을 하고 있을 뿐 아무 말 하지 못하고 있었다. ,K는 어처구니가 없다는 표정을 하고 있을 뿐 아무 말 하지 못하고 있었다. ,어처구니가 없다는 표정을 하고 있을 뿐 K는 아무 말 하지 못하고 있었다. ,K는 어처구니가 없다는 표정을 하고 있을 뿐 아무런 말 하지 못하고 있었다
127,K는 너무 뜻밖이어서 기가 막히다는 듯한 표정을 할 뿐 어떤 말도 하지 못하고 있었다. ,K는 너무나 뜻밖이어서 기가 막히다는 듯한 표정을 할 뿐 어떤 말도 하지 못하고 있었다. ,K는 너무나 뜻밖이어서 기가 막히다는 듯한 표정을 할 뿐 어떤 말도 하지 못하고 있었다. ,K는 너무나 뜻밖이어서 기가 막히다는 듯한 표정을 할 뿐 어떤 말도 하지 못하고 있었습니다
128,K는 아무 말도 못한 채 어처구니 없다는 표정을 지을 뿐이었다. ,아무 말도 못한 채 K는 어처구니 없다는 표정을 지을 뿐이었다. ,K는 아무 말도 못한 채 어처구니 없다는 표정을 지을 뿐이었다. ,K는 아무런 말도 못한 채 어처구니 없다는 표정을 지을 뿐이었다
129,K는 여기까지 말하고 다시 비시시 웃었다. ,K는 여기까지 말하고 다시 비시시 웃었다. ,K는 여기까지 말하고 또 비시시 웃었다. ,K는 여기까지 말하고 또다시 비시시 웃었다
130,K는 여기까지 발언하고 또다시 비시시 웃음을 지었다. ,K는 여기까지 발언하고 또다시 비시시 웃음을 지었다. ,K는 이곳까지 발언하고 다시 비시시 웃음을 지었다. ,K는 여기까지 발언하고 또다시 비시시 웃음을 지었다.
131,K는 여기까지 말하고 되풀이해서 배시시 웃었다. ,K는 여기까지 말하고 되풀이해서 배시시 웃었다. ,K는 여기까지 말하고 되풀이해서 배시시 웃었다. ,K는 여기까지 말하고 되풀이해서 배시시 웃었다. 
132,K는 여기까지 말하고 이제 몹시 기운 없는 표정으로 입을 다물었다. ,K는 여기까지 말하고 이제 몹시 기운 없는 표정으로 입을 다물었다. ,K는 여기까지 말하고 이제 몹시 기운 없는 표정으로 입을 다물었다. ,K는 여기까지 말하고 이제 몹시 기운 없는 표정으로 입을 다물었다.
133,K는 여기까지 말하고 지금 상당히 기력 없는 표정으로 입을 닫았다. ,K는 여기까지 말하고 지금 상당히 기력 없는 표정으로 입을 닫았다. ,K는 이곳까지 말하고 지금 상당히 기력 없는 표정으로 입을 닫았다,K는 이곳까지 말하고 지금 상당히 기력 없는 표정으로 입을 닫았다 
134,K는 여기까지 말하고 이제 무척 기운 없는 얼굴빛으로 입을 봉했다. ,K는 여기까지 말하고 이제 무척 기운 없는 얼굴빛으로 입을 봉했다. ,K는 이곳까지 말하고 이제 무척 기운 없는 얼굴빛으로 입을 봉했다,K는 이곳까지 말하고 이제 무척 기운 없는 얼굴빛으로 입을 봉하였다
135,K는 여전히 놀란 눈으로 그녀를 굽어보고만 있을 뿐 말을 하지 못했다. ,K는 아직도 놀란 눈으로 그녀를 굽어보고만 있을 뿐 말을 하지 못했다. ,K는 여태 놀란 눈으로 그녀를 굽어보고만 있을 뿐 말을 하지 못했다. ,K는 아직도 놀란 눈으로 그녀를 굽어보고만 있을 뿐 말을 하지 못했다.
136,K는 여전히 질겁을 한 눈으로 그녀를 굽어보고만 있을 뿐 말을 못했다. ,K는 아직도 질겁을 한 눈으로 그녀를 굽어보고만 있을 뿐 말을 못했다. ,K는 아직도 질겁을 한 눈으로 그녀를 굽어보고만 있을 뿐 말을 하지 못했다,K는 아직도 질겁을 한 눈으로 그녀를 굽어보고만 있을 뿐 말을 하지 않았다
137,K는 여태 질겁을 한 눈으로 그녀를 굽어볼 뿐 말을 못했다. ,K는 여태껏 질겁을 한 눈으로 그녀를 굽어볼 뿐 말을 못했다. ,K는 여태껏 질겁을 한 눈으로 그녀를 굽어볼 뿐 말을 못했다. ,K는 여태껏 질겁을 한 눈으로 그녀를 굽어볼 뿐 말을 하지 못했다
138,K는 여전히 하소연하는 듯한 얼굴로 말했다. ,K는 아직도 하소연하는 듯한 얼굴로 말했다. ,K는 아직도 하소연하는 듯한 얼굴을 했다. ,K는 아직도 하소연하는 듯한 얼굴로 말을 했다
139,K는 여전히 억울하다는 듯한 얼굴로 하소연했다. ,K는 아직도 억울하다는 듯한 얼굴로 하소연했다. ,K는 여태껏 억울하다는 듯한 얼굴로 하소연,K는 여태껏 억울하다는 듯한 얼굴로 하소연을 
140,K는 여태 하소연하는 듯한 얼굴로 이야기했다. ,K는 여태껏 하소연하는 듯한 얼굴로 이야기했다. ,K는 여태껏 하소연하는 듯한 얼굴로 이야기했다. ,K는 여태껏 하소연하는 듯한 얼굴로 이야기했다.
141,K는 이렇게 말하고 다시 잠시 기다렸다. ,K는 이렇게 말하고 다시 잠깐 기다렸다. ,K는 이렇게 말하고 또 잠깐 기다렸다. ,K는 이렇게 말하고 다시 잠깐 기다렸다.
142,K는 이렇게 말하고 또다시 당분간 기다렸다. ,K는 이렇게 말하고 다시 당분간 기다렸다. ,K는 이렇게 말하고 다시 당분간 기다렸다.,K는 이렇게 말하고 다시 얼마쯤 기다렸다. 분
143,K는 이렇게 말하고 다시 한 번 잠깐 기다렸다. ,K는 이렇게 말하고 다시 한 번 잠깐 기다렸다. ,K는 이렇게 얘기하고 다시 한 번 잠깐 기다렸다. ,K는 이렇게 말하고 다시 한 번 잠깐 기다렸다.
144,K는 이렇게 말하고 무슨 생각에서인지 자신의 양복 속주머니에 꽂혀 있던 만년필을 꺼내었다. ,이렇게 말하고 무슨 생각에서인지 K는 자신의 양복 속주머니에 꽂혀 있던 만년필을 꺼내었다. ,K는 이렇게 말하고 무슨 생각에서인지 자신의 양복 속주머니에 꽂혀 있던 만년필을 꺼내었다. ,K는 이렇게 얘기하고 무슨 생각에서인지 자신의 양복 속주머니에 꽂혀 있던 만년필을 꺼내었다. 
145,K는 이렇게 발언하고 무슨 이유에서인지 자신의 서양식 정장 안쪽에 달린 주머니에 꽂혀 있던 만년필을 꺼냈다. ,K는 이렇게 발언하고 무슨 이유에서인지 자신의 서양식 정장 안쪽에 달린 주머니에 꽂혀 있던 만년필을 꺼냈다. ,K는 이렇게 얘기하고 무슨 이유에서인지 자신의 서양식 정장 안쪽에 달린 주머니에 꽂혀 있던 만년필을 꺼냈다. ,K는 이렇게 발언하고 무슨 까닭인지 자신의 서양식 정장 안쪽에 달린 주머니에 꽂혀 있던 만년필을 꺼냈다. 
146,K는 이렇게 말하고 어떤 까닭에서인지 자신의 양복 안주머니에서 꽂혀 있던 만년필을 꺼냈다. ,K는 이렇게 말하고 어떤 까닭에서인지 자신의 양복 안주머니에서 꽂혀 있던 만년필을 꺼냈다. ,K는 이렇게 말하고 어떤 까닭에서인지 자신의 양복 안주머니에서 꽂혀 있던 만년필을 꺼냈다. ,K는 이렇게 말하고 어떤 까닭에서인지 자신의 양복 안주머니에서 꽂혀 있던 만년필을 꺼냈다.
147,K는 이제 담배를 꺼내어 피워 물었다. ,K는 이제 담배를 꺼내어 피워 물었다. ,K는 이제 담배를 꺼내어 피워 질문했다. ,K는 이제 담배를 꺼내서 피워 물었다. 
148,K는 지금 담배를 꺼내어 입술 사이에 끼운 상태로 물어 피웠다. ,K는 지금 담배를 꺼내어 입술 사이에 끼운 상태로 물어 피웠다. ,지금 K는 담배를 꺼내어 입술 사이에 끼운 상태로 물어 피웠다. ,K는 지금 담배를 꺼내서 입술 사이에 끼운 상태로 물어 피웠다. 
